[ 1958895ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1962464ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1966358ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1969861ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1974640ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1978873ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1981217ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1984731ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1989486ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1993737ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 1998596ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2003748ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2008381ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2010631ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2014412ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2017059ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2021651ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2024636ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2026848ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2029040ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2032207ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2037485ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2042415ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2048052ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2052563ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
[ 2056030ms] [ERROR] WebSocket connection to 'ws://localhost:5176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5176/@vite/client:1034
